short name,reference product,ecoinvent name,sector,base_fuel
"natural gas, onshore","natural gas, high pressure","petroleum and gas production, onshore",hydrogen and gases,"natural gas, industrial furnace low-NOx"
"natural gas, offshore","natural gas, high pressure","petroleum and gas production, offshore",hydrogen and gases,"natural gas, industrial furnace low-NOx"
"biomethane, amine scrubbing","biomethane, from biogas upgrading, using amine scrubbing","biomethane production, from biogas upgrading, using amine scrubbing",hydrogen and gases,"biomethane, boiler"
"biogas, biowaste","biogas","treatment of biowaste by anaerobic digestion",hydrogen and gases,"biogas, gas engine"
"biogas, sewage sludge","biogas","treatment of sewage sludge by anaerobic digestion",hydrogen and gases,"biogas, gas engine"
"biogas, used vegetable cooking oil","biogas","treatment of used vegetable cooking oil by anaerobic digestion",hydrogen and gases,"biogas, gas engine"
"hydrogen, methane pyrolysis","hydrogen, gaseous, 100 bar","hydrogen production, gaseous, 100 bar, from methane pyrolysis",hydrogen and gases,"hydrogen, gas turbine"
"hydrogen, woody biomass","hydrogen, gaseous, 25 bar","hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant",hydrogen and gases,"hydrogen, gas turbine"
"hydrogen, woody biomass, CCS","hydrogen, gaseous, 25 bar","hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant",hydrogen and gases,"hydrogen, gas turbine"
"hydrogen, water splitting","hydrogen, gaseous, 25 bar","hydrogen production, gaseous, 25 bar, from thermochemical water splitting, at solar tower",hydrogen and gases,"hydrogen, gas turbine"
"hydrogen, hard coal","hydrogen, gaseous, 30 bar","hydrogen production, gaseous, 30 bar, from hard coal gasification and reforming, at coal gasification plant",hydrogen and gases,"hydrogen, gas turbine"
"hydrogen, hard coal, CCS","hydrogen, gaseous, 30 bar","hydrogen production, gaseous, 30 bar, from hard coal gasification and reforming, with CCS, at coal gasification plant",hydrogen and gases,"hydrogen, gas turbine"
"hydrogen, PEM electrolysis","hydrogen, gaseous, 30 bar","hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity",hydrogen and gases,"hydrogen, gas turbine"
"hydrogen, PEM electrolysis, VRE","hydrogen, gaseous, 30 bar","hydrogen production, gaseous, 30 bar, from PEM electrolysis, VRE inputs",hydrogen and gases,"hydrogen, gas turbine"
"hydrogen, natural gas","hydrogen, gaseous, 25 bar","hydrogen production, steam methane reforming of natural gas, 25 bar",hydrogen and gases,"hydrogen, gas turbine"
"hydrogen, natural gas, CCS","hydrogen, gaseous, 25 bar","hydrogen production, steam methane reforming of natural gas, with CCS (MDEA, 98% eff.), 25 bar",hydrogen and gases,"hydrogen, gas turbine"
"hydrogen, biomethane","hydrogen, gaseous, 26 bar","hydrogen production, steam methane reforming, from biomethane, high and low temperature, 26 bar",hydrogen and gases,"hydrogen, gas turbine"
"hydrogen, biomethane, CCS","hydrogen, gaseous, 26 bar","hydrogen production, steam methane reforming, from biomethane, high and low temperature, with CCS (MDEA, 98% eff.), 26 bar",hydrogen and gases,"hydrogen, gas turbine"
